"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9KX4EDF8","journalArticle","2014","Ciana, A.; Achilli, C.; Minetti, G.","Membrane rafts of the human red blood cell","Mol Membr Biol","","0968-7688","10.3109/09687688.2014.896485","http://dx.doi.org/10.3109/09687688.2014.896485","","2014","2017-05-05 17:10:55","2017-06-21 01:26:41","","47-57","","2-3","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X37M6DC8","journalArticle","2010","Duquesne, K.; Sturgis, J. N.","Membrane protein solubilization","Methods Mol Biol","","1940-6029","10.1007/978-1-60761-344-2_13","http://www.ncbi.nlm.nih.gov/pubmed/20099148","","2010","2017-05-05 17:10:57","2017-06-21 01:26:38","","205-17","","","601","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWVD3C4C","journalArticle","2012","Tagliari, L.; Toledo, M. S.; Lacerda, T. G.; Suzuki, E.; Straus, A. H.; Takahashi, H. K.","Membrane microdomain components of Histoplasma capsulatum yeast forms, and their role in alveolar macrophage infectivity","Biochim Biophys Acta","","0006-3002 (Print)0006-3002","10.1016/j.bbamem.2011.12.008","http://dx.doi.org/10.1016/j.bbamem.2011.12.008","","2012","2017-05-05 17:11:07","2017-06-21 01:26:33","","458-66","","3","1818","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM47TIC5","journalArticle","2008","Sonnino, S; Prinetti, A","Membrane lipid domains and membrane lipid domain preparations: are they the same thing?","Trends in Glycoscience and Glycotechnology","","0915-7352","10.4052/tigg.20.315","","","2008","2017-05-05 17:11:06","2017-06-21 01:26:27","","315-340","","116","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB2MZDF5","journalArticle","2000","Malheiros, S. V.; Brito, M. A.; Brites, D.; Meirelles, N. C.","Membrane effects of trifluoperazine, dibucaine and praziquantel on human erythrocytes.","Chem Biol Interact","","0009-2797","S0009-2797(00)00150-2 [pii]","http://www.ncbi.nlm.nih.gov/pubmed/10862811","","2000","2017-05-05 17:11:02","2017-06-21 01:26:25","","79-95","","2","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8GNNCAX","journalArticle","2013","Sonnino, S.; Prinetti, A.","Membrane domains and the ""lipid raft"" concept","Curr Med Chem","","1875-533X","","http://www.ncbi.nlm.nih.gov/pubmed/23150999","","2013","2017-05-05 17:11:07","2017-06-21 01:26:23","","4-21","","1","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8EHHSED","journalArticle","2006","Gruenberg, J.; Van der Goot, F. G.","Mechanisms of pathogen entry through the endosomal compartments","Nat Rev Mol Cell Biol","","1471-0072","nrm1959 [pii] 10.1038/nrm1959","http://www.ncbi.nlm.nih.gov/pubmed/16773132","","2006","2017-05-05 17:10:59","2017-06-21 01:26:20","","495-504","","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKJNXF86","journalArticle","2011","Pathak, P; London, E","Measurement of lipid nanodomain (raft) formation and size in sphingomyelin/POPC/cholesterol vesicles shows TX-100 and transmembrane helices increase domain size by coalescing preexisting nanodomains but do not induce domain formation","Biophys J","","0006-3495","10.1016/j.bpj.2011.08.059","","","2011","2017-05-05 17:11:04","2017-06-21 01:26:18","","2417-2425","","10","101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQ5KBWZR","journalArticle","2008","Leidl, K.; Liebisch, G.; Richter, D.; Schmitz, G.","Mass spectrometric analysis of lipid species of human circulating blood cells.","Biochim Biophys Acta","","0006-3002","S1388-1981(08)00138-8 [pii] 10.1016/j.bbalip.2008.07.008","http://www.ncbi.nlm.nih.gov/pubmed/18723117","","2008","2017-05-05 17:11:01","2017-06-21 01:26:16","","655-64","","10","1781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEJFNPDZ","journalArticle","2009","Maier, A. G.; Cooke, B. M.; Cowman, A. F.; Tilley, L.","Malaria parasite proteins that remodel the host erythrocyte.","Nat Rev Microbiol","","1740-1534","nrmicro2110 [pii] 10.1038/nrmicro2110","http://www.ncbi.nlm.nih.gov/pubmed/19369950","","2009","2017-05-05 17:11:02","2017-06-21 01:26:14","","341-54","","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRRFQUFZ","journalArticle","1990","Connor, J.; Gillum, K.; Schroit, A. J.","Maintenance of lipid asymmetry in red blood cells and ghosts: effect of divalent cations and serum albumin on the transbilayer distribution of phosphatidylserine","Biochim Biophys Acta","","0006-3002","0005-2736(90)90193-R [pii]","http://www.ncbi.nlm.nih.gov/pubmed/2369579","","1990","2017-05-05 17:10:55","2017-06-21 01:26:11","","82-6","","1","1025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCB6S48F","journalArticle","2014","Salvemini, I. L.; Gau, D. M.; Reid, J.; Bagatolli, L. A.; Macmillan, A.; Moens, P. D.","Low PIP(2) molar fractions induce nanometer size clustering in giant unilamellar vesicles","Chem Phys Lipids","","1873-2941","10.1016/j.chemphyslip.2013.11.003","http://www.ncbi.nlm.nih.gov/pubmed/24269375","","2014","2017-05-05 17:11:05","2017-06-21 01:26:09","","51-63","","","177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGQRDAZJ","journalArticle","2004","Helms, JB; Zurzolo, C","Lipids as targeting signals: lipid rafts and intracellular trafficking.","Traffic","","1398-9219","TRA181 [pii] 10.1111/j.1600-0854.2004.0181.x","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=15030566","","2004","2017-05-05 17:11:00","2017-06-21 01:26:06","","247-54","","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NFGDIZF","journalArticle","2011","Staubach, S.; Hanisch, F. G.","Lipid rafts: signaling and sorting platforms of cells and their roles in cancer.","Expert Rev Proteomics","","1744-8387","10.1586/epr.11.2","http://www.ncbi.nlm.nih.gov/pubmed/21501018","","2011","2017-05-05 17:11:07","2017-06-21 01:25:59","","263-77","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFZUNDRX","journalArticle","2001","Dietrich, C; Bagatolli, L A; Volovyk, Z N; Thompson, N L; Levi, M; Jacobson, K; Gratton, E","Lipid rafts reconstituted in model membranes","Biophys J","","0006-3495","","http://www.ncbi.nlm.nih.gov/pubmed/11222302","","2001","2017-05-05 17:10:57","2017-06-21 01:25:56","","1417-1428","","3","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6N97DRAJ","journalArticle","2005","Locke, D.; Liu, J.; Harris, A. L.","Lipid rafts prepared by different methods contain different connexin channels, but gap junctions are not lipid rafts.","Biochemistry","","0006-2960","10.1021/bi050495a","http://www.ncbi.nlm.nih.gov/pubmed/16185071","","2005","2017-05-05 17:11:02","2017-06-21 01:25:54","","13027-42","","39","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VNQFBWN","journalArticle","2004","Mongrand, S; Morel, J; Laroche, J; Claverol, S; Carde, JP; Hartmann, MA; Bonneu, M; Simon-Plas, F; Lessire, R; Bessoule, JJ","Lipid rafts in higher plant cells: purification and characterization of Triton X-100-insoluble microdomains from tobacco plasma membrane.","J Biol Chem","","0021-9258","M403440200 [pii] 10.1074/jbc.M403440200","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=15190066","","2004","2017-05-05 17:11:03","2017-06-21 01:25:52","","36277-86","","35","279","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECBENPZC","journalArticle","2004","Pike, LJ","Lipid rafts: heterogeneity on the high seas","Biochem J","","0264-6021","DOI 10.1042/BJ20031672","","","2004","2017-05-05 17:11:04","2017-06-21 01:25:50","","281-292","","2","378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXMQTWAA","journalArticle","2006","Brown, D A","Lipid rafts, detergent-resistant membranes, and raft targeting signals","Physiology","","1548-9213","DOI 10.1152/physiol.00032.2006","","","2006","2017-05-05 17:10:54","2017-06-21 01:25:48","","430-439","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58B74C5R","journalArticle","2006","Hancock, J F","Lipid rafts: contentious only from simplistic standpoints","Nature Rev Mol Cell Biol","","1471-0072","DOI 10.1038/nrm1925","http://www.ncbi.nlm.nih.gov/pubmed?term=Lipid%20rafts%3A%20contentious%20only%20from%20simplistic%20standpoints","","2006","2017-05-05 17:10:59","2017-06-21 01:25:46","","456-462","","6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
